Name,Web Address,Sales Rep,Vertical,Billing City,Billing State/Province,Annual Revenue,NAICS
A&K Robotics,http://www.aandkrobotics.com,"Traywick, Reginald",Manufacturing,Vancouver,BC,$5M to $10M,333519 Rolling Mill and Other Metalworking Machinery Manufacturing
A-S Medication Solutions LLC,http://www.a-smeds.com,"Dambrosio, Thomas",Retail,Fremont,NE,$10M to $20M,424210 Drugs and Druggists' Sundries Merchant Wholesalers
Aaron Packaging Inc.,http://aaronpackaging.com,"Traywick, Reginald",Manufacturing,Sumner,WA,$5M to $10M,423840 Industrial Supplies Merchant Wholesalers
"Abrisa Industrial Glass, Inc.",http://www.abrisatechnologies.com,"O'Neill, Brian",Manufacturing,Santa Paula,CA,$20M to $30M,423390 Other Construction Material Merchant Wholesalers
ABS Corporation,http://www.abs-corporation.com,"Dambrosio, Thomas",Manufacturing,Omaha,NE,$5M to $10M,325412 Pharmaceutical Preparation Manufacturing
Accelerate Diagnostics,http://www.acceleratediagnostics.com,"O'Neill, Brian",Manufacturing,Tucson,AZ,$10M to $20M,621511 Medical Laboratories
Access Hardware Supply Inc,http://www.accesshardware.com,"Uritis, Peter",Manufacturing,San Leandro,CA,$10M to $20M,423710 Hardware Merchant Wholesalers
ACCO Unlimited Corporation,https://accounlimited.com/,"Corbett, Danielle",Retail,,IA,$5M to $10M,424690 Other Chemical and Allied Products Merchant Wholesalers
Accord Carton,http://www.accordcarton.com,"Dynek, Christopher",Manufacturing,Alsip,IL,$30M to $50M,322212 Folding Paperboard Box Manufacturing
Accuduct Manufacturing,http://www.accuduct.com,"Traywick, Reginald",Manufacturing,Algona,WA,$10M to $20M,332322 Sheet Metal Work Manufacturing
Accurate Elastomer Products Inc,http://www.accurateelastomer.com,"Traywick, Reginald",Manufacturing,San Diego,CA,$5M to $10M,423840 Industrial Supplies Merchant Wholesalers
"Accuryn Medical, Inc.",http://accuryn.com,"Dambrosio, Thomas",Manufacturing,Hayward,CA,$20M to $30M,339112 Surgical and Medical Instrument Manufacturing
Ace Building Materials,http://www.acebuildingmaterials.com,"Dambrosio, Thomas",Retail,Van Nuys,CA,$5M to $10M,"423320 Brick, Stone, and Related Construction Material Merchant Wholesalers"
Ace Hardware,http://www.acebrentwood.com,"O'Neill, Brian",Retail,Brentwood,CA,$5M to $10M,444140 Hardware Retailers
ACE Manufacturing,http://www.ace-mfg.com,"Dambrosio, Thomas",Retail,Sullivan,MO,$10M to $20M,336350 Motor Vehicle Transmission and Power Train Parts Manufacturing
ACI Materials,http://www.acimaterials.com,"Dambrosio, Thomas",Manufacturing,Goleta,CA,$5M to $10M,325180 Other Basic Inorganic Chemical Manufacturing
Acree Technologies,http://www.acreetech.com,"Traywick, Reginald",Manufacturing,Concord,CA,$5M to $10M,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
Acrowood Corporation,http://www.acrowood.com,"Uritis, Peter",Manufacturing,,WA,$10M to $20M,"333243 Sawmill, Woodworking, and Paper Machinery Manufacturing"
Acrylicpress,http://www.acrylicpress.com,"Dynek, Christopher",Retail,Tucson,AZ,$50M to $100M,"459420 Gift, Novelty, and Souvenir Retailers"
Activated Carbon Corp.,http://activatedcarbon.com,"O'Neill, Brian",Manufacturing,Compton,CA,$50M to $100M,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing
Active Membrane,http://activemembrane.com,"O'Neill, Brian",General Business,Moorpark,CA,$5M to $10M,561499 All Other Business Support Services
"Adams and Brooks, Inc.",http://www.adams-brooks.com,"Uritis, Peter",Retail,San Bernardino,CA,$10M to $20M,311340 Nonchocolate Confectionery Manufacturing
Adcraft Printing,http://www.adcraftusa.com,"O'Neill, Brian",Services,Clinton,IA,$5M to $10M,"541921 Photography Studios, Portrait"
"Adtec Technology, Inc.",https://www.adtec-rf.co.jp/en/,"Dambrosio, Thomas",Manufacturing,Santa Clara,CA,$5M to $10M,333242 Semiconductor Machinery Manufacturing
"Advanage Diversified Products, Inc.",http://advanage20x.com,"Corbett, Danielle",Manufacturing,Harvey,IL,$5M to $10M,325612 Polish and Other Sanitation Good Manufacturing
Advance Industrial Computer,http://www.aicipc.com,"Dynek, Christopher",Retail,City Of Industry,CA,$150M to $200M,449210 Electronics and Appliance Retailers
Advanced Fiberglass Concepts,http://www.advfiberglass.com,"O'Neill, Brian",Manufacturing,Costa Mesa,CA,$10M to $20M,327993 Mineral Wool Manufacturing
Advanced Hardware Supply,https://advancedhardwaresupply.com/,"Dambrosio, Thomas",Retail,Boise,ID,$5M to $10M,423710 Hardware Merchant Wholesalers
Advanced Ingredients Inc,http://www.advancedingredients.com,"Dynek, Christopher",Retail,Irvine,CA,$50M to $100M,424990 Other Miscellaneous Nondurable Goods Merchant Wholesalers
Advancion Corporation,https://www.advancionsciences.com/,"Zapalac, Ross",Manufacturing,Buffalo Grove,IL,$100M to $150M,"541715 Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
Advantage PowerSports,http://advantagepowersports.com,"Corbett, Danielle",Retail,Kansas City,MO,$10M to $20M,"441228 Motorcycle, Atv, and All other Motor Vehicle Dealers"
Advent Technologies Inc,http://www.advent-energy.com/,"Dambrosio, Thomas",Manufacturing,Livermore,CA,$5M to $10M,325110 Petrochemical Manufacturing
AdviNOW Medical,https://advinow.com/,"O'Neill, Brian",Health & Beauty,Mesa,AZ,$5M to $10M,621999 All Other Miscellaneous Ambulatory Health Care Services
Aerospace & Defense Manufacturing,http://www.defmfg.com,"Corbett, Danielle",Manufacturing,Temecula,CA,$10M to $20M,"334511 Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
"AFAM Concept, Inc.",http://www.afamconcept.com,"Zapalac, Ross",Manufacturing,Chicago,IL,$20M to $30M,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing
AFC Materials Group,https://afcmaterials.com/,"Corbett, Danielle","Apparel, Footwear & Accessories",Crystal Lake,IL,$20M to $30M,"314994 Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
Afc Trading & Wholesale,http://www.afcsoyfoods.com,"Dambrosio, Thomas",Retail,Los Angeles,CA,$5M to $10M,424410 General Line Grocery Merchant Wholesalers
AG Jeans,http://agjeans.com,"Dynek, Christopher","Apparel, Footwear & Accessories",South Gate,CA,$100M to $150M,424350 Clothing and Clothing Accessories Merchant Wholesalers
Ag Performance,http://www.agperformance.com,"Dambrosio, Thomas",Retail,Buffalo Center,IA,$5M to $10M,424910 Farm Supplies Merchant Wholesalers
AgraTech,http://www.agratech.com,"Corbett, Danielle",Manufacturing,Pittsburg,CA,$5M to $10M,325311 Nitrogenous Fertilizer Manufacturing
Agri-Best Feeds,http://www.agribestfeeds.com,"Corbett, Danielle",Retail,Billings,MT,$5M to $10M,424910 Farm Supplies Merchant Wholesalers
Agri-Cover Inc,http://www.agricover.com,"O'Neill, Brian",Manufacturing,Jamestown,ND,$5M to $10M,811310 Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
"Agricare, Inc",http://www.agricare.com,"Zapalac, Ross",Manufacturing,Porterville,CA,$1M to $2M,423820 Farm and Garden Machinery and Equipment Merchant Wholesalers
Agricultural Services,http://www.asihiyield.com,"Zapalac, Ross",Manufacturing,Grand Island,NE,$20M to $30M,"115112 Soil Preparation, Planting, and Cultivating"
AgriFORCE,https://agriforcegs.com/,"Corbett, Danielle",Services,Vancouver,BC,Under $500K,"518210 Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
AGVenture,http://www.agventure.com,"O'Neill, Brian",Retail,Webster,SD,$20M to $30M,424910 Farm Supplies Merchant Wholesalers
AIBOT US Inc,http://aibot.ai,"Corbett, Danielle",Manufacturing,Long Beach,CA,$5M to $10M,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing
Air Squared Inc.,http://www.airsquared.com,"Dynek, Christopher",Manufacturing,Broomfield,CO,$20M to $30M,333912 Air and Gas Compressor Manufacturing
Airspace Intelligence,http://www.airspace-intelligence.com,"Corbett, Danielle",Software,San Francisco,CA,$20M to $30M,333519 Rolling Mill and Other Metalworking Machinery Manufacturing
Airtronics Metal Products Inc,http://www.airtronics.com,"Traywick, Reginald",Manufacturing,San Jose,CA,$10M to $20M,332322 Sheet Metal Work Manufacturing
AJR Group,http://ajrgroup.com,"Dambrosio, Thomas","Apparel, Footwear & Accessories",Saint Charles,IL,$10M to $20M,333999 All Other Miscellaneous General Purpose Machinery Manufacturing
Alco Designs,http://www.alcodesigns.com,"Dambrosio, Thomas",Manufacturing,Gardena,CA,$10M to $20M,"337215 Showcase, Partition, Shelving, and Locker Manufacturing"
Alder & Tweed Design Co.,http://www.alderandtweed.com,"Uritis, Peter",Retail,Big Sky,MT,$10M to $20M,423210 Furniture Merchant Wholesalers
Alef Aeronautics formerly Armada,https://alef.aero/,"O'Neill, Brian",Retail,San Mateo,CA,$10M to $20M,423110 Automobile and Other Motor Vehicle Merchant Wholesalers
Alef Sausage,https://www.alefsausage.com/,"O'Neill, Brian",Retail,Mundelein,IL,$5M to $10M,722513 Limited-Service Restaurants
Alesmith Brewing Company,http://www.alesmith.com,"Dambrosio, Thomas",Food & Beverage,San Diego,CA,$10M to $20M,312120 Breweries
Alexander Valley Cellars,http://www.alexandervalleycellars.com,"Dambrosio, Thomas",Retail,Windsor,CA,$5M to $10M,312130 Wineries
Alexandre Family Farm,http://www.alexandrefamilyfarm.com,"Uritis, Peter",Manufacturing,San Leandro,CA,$5M to $10M,112120 Dairy Cattle and Milk Production
Algus Packaging Inc,http://www.algus.com,"Zapalac, Ross",Manufacturing,Dekalb,IL,$50M to $100M,561910 Packaging and Labeling Services
Ali-Zon,http://www.ali-zon.com,"O'Neill, Brian","Apparel, Footwear & Accessories",Torrance,CA,$5M to $10M,424350 Clothing and Clothing Accessories Merchant Wholesalers
Alien Technology,http://www.alientechnology.com,"Dynek, Christopher",Manufacturing,San Jose,CA,$30M to $50M,"541990 All Other Professional, Scientific, and Technical Services"
All Makes Office Equipment,http://www.allmakes.com,"Dynek, Christopher",Retail,Omaha,NE,$20M to $30M,423420 Office Equipment Merchant Wholesalers
All Original Speciality Foods Inc,http://www.originalfoods.com,"Dynek, Christopher",Food & Beverage,Dunnville,ON,$20M to $30M,311340 Nonchocolate Confectionery Manufacturing
All Power Labs,http://www.allpowerlabs.com,"Dynek, Christopher",Manufacturing,Berkeley,CA,$20M to $30M,335312 Motor and Generator Manufacturing
All Star Trading,http://www.allstartrading.com,"O'Neill, Brian",Retail,Oak Brook,IL,$5M to $10M,459910 Pet and Pet Supplies Retailers
All State Utility Supply Inc,http://www.allstateutility.com,"Traywick, Reginald",Retail,Fillmore,CA,$5M to $10M,"423610 Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
All-State Industries,http://www.all-stateind.com,"Dynek, Christopher",Manufacturing,Des Moines,IA,$50M to $100M,326291 Rubber Product Manufacturing for Mechanical Use
Alliance Door Products,http://www.alliancedoorproducts.com,"Zapalac, Ross",Retail,Wilsonville,OR,$20M to $30M,"423310 Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
Alliance Principle Ingredients,http://www.allianceingredients.com,"Uritis, Peter",Retail,Surrey,BC,$5M to $10M,424490 Other Grocery and Related Products Merchant Wholesalers
Alliance Storage Technologies,http://www.alliancestoragetechnologies.com/,"Dynek, Christopher",Manufacturing,Colorado Springs,CO,$20M to $30M,334610 Manufacturing and Reproducing Magnetic and Optical Media
Allied Blower,http://www.alliedblower.com,"Uritis, Peter",Manufacturing,Surrey,BC,$10M to $20M,333413 Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
Allied Feather & Down Corp.,http://www.alliedfeather.com,"Dynek, Christopher",Manufacturing,Montebello,CA,$10M to $20M,424990 Other Miscellaneous Nondurable Goods Merchant Wholesalers
Allied Refrigeration Inc.,http://www.allied-refrig.com,"Dynek, Christopher",Retail,Signal Hill,CA,$30M to $50M,423740 Refrigeration Equipment and Supplies Merchant Wholesalers
"ALLOY SLING CHAINS, INC.",http://www.ascindustries.com/,"Uritis, Peter",Manufacturing,East Hazel Crest,IL,$10M to $20M,332618 Other Fabricated Wire Product Manufacturing
Allreds Inc,http://www.allreds.net,"Corbett, Danielle",Manufacturing,Ogden,UT,$10M to $20M,423730 Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
Allwire,http://www.allwire.com,"Dambrosio, Thomas",Manufacturing,Chowchilla,CA,$10M to $20M,"331420 Copper Rolling, Drawing, Extruding, and Alloying"
ALM Positioners Inc,https://www.almmh.com/,"Uritis, Peter",Manufacturing,Rock Island,IL,$5M to $10M,333992 Welding and Soldering Equipment Manufacturing
Almaco,http://www.almaco.com,"Zapalac, Ross",Manufacturing,Nevada,IA,$50M to $100M,333111 Farm Machinery and Equipment Manufacturing
Aloha Shoyu Co Ltd,http://alohashoyu.com,"Dambrosio, Thomas",Food & Beverage,Kapolei,HI,$5M to $10M,"311941 Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
Aloun Farms,http://www.alounfarms.com,"Zapalac, Ross",Manufacturing,Waipahu,HI,$30M to $50M,111219 Other Vegetable (except Potato) and Melon Farming
"Alp-n-Rock, LLC",http://www.alpnrock.com,"O'Neill, Brian","Apparel, Footwear & Accessories",Carlsbad,CA,$2M to $5M,458110 Clothing and Clothing Accessories Retailers
Alpha Knife Supply,http://www.alphaknifesupply.com,"Corbett, Danielle",Manufacturing,Redmond,WA,$5M to $10M,"331491 Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
Alpha Safety,https://alphasafetyco.com/,"O'Neill, Brian",Manufacturing,Golden,CO,$20M to $30M,336415 Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
Alpha Safety LLC,http://alphasafetyco.com,"Corbett, Danielle",Services,,CO,$1M to $2M,561621 Security Systems Services (except Locksmiths)
Alpine Corporation,http://www.alpine4u.com,"Dynek, Christopher",Manufacturing,Commerce,CA,$30M to $50M,424910 Farm Supplies Merchant Wholesalers
Alpine Furniture Inc,http://www.alpinefurniture.net,"Traywick, Reginald",Retail,Chino,CA,$5M to $10M,423220 Home Furnishing Merchant Wholesalers
Alsey Refractories Company,http://alsey.com,"Uritis, Peter",Manufacturing,St. Louis,MO,$5M to $10M,327120 Clay Building Material and Refractories Manufacturing
Alta One LLC,http://www.altaoneusa.com,"Dambrosio, Thomas",Retail,Roseville,CA,$5M to $10M,423850 Service Establishment Equipment and Supplies Merchant Wholesalers
"Altek, Inc.",http://www.altek-inc.com,"Zapalac, Ross",Manufacturing,Liberty Lake,WA,$50M to $100M,339113 Surgical Appliance and Supplies Manufacturing
Altinex Inc,http://www.altinex.com,"Uritis, Peter",Manufacturing,Placentia,CA,$10M to $20M,334310 Audio and Video Equipment Manufacturing
Alton Steel Inc,http://www.altonsteel.com,"Dynek, Christopher",Manufacturing,Alton,IL,$100M to $150M,"334416 Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
ALW,http://www.alw-inc.com,"Dynek, Christopher",Manufacturing,Oakland,CA,$50M to $100M,"335122 Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
Am-Finn Sauna Co.,http://www.am-finn.com,"Traywick, Reginald",Manufacturing,Eagle,ID,$5M to $10M,321992 Prefabricated Wood Building Manufacturing
AmazingCosmetics,http://www.amazingcosmetics.com,"O'Neill, Brian",Health & Beauty,Libertyville,IL,$5M to $10M,"456120 Cosmetics, Beauty Supplies, and Perfume Retailers"
Amenity Health (MedCline),http://medcline.com,"Dynek, Christopher",Health & Beauty,San Diego,CA,$10M to $20M,"423450 Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
America Display Inc.,https://adfixture.com/,"Corbett, Danielle",Retail,Mokena,IL,$10M to $20M,541850 Indoor and Outdoor Display Advertising
American Custom Meats Llc,http://www.acmeats.com,"Dambrosio, Thomas",Retail,Tracy,CA,$20M to $30M,311611 Animal (except Poultry) Slaughtering
"American Equipment, Inc.",http://www.amquipinc.com,"Dynek, Christopher",Manufacturing,Salt Lake City,UT,$150M to $200M,561491 Repossession Services
"American Green Lights, LLC",http://www.americangreenlights.com,"Zapalac, Ross",Manufacturing,San Diego,CA,$20M to $30M,"335122 Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
American Lithium (formerly Plateau Energy),http://americanlithiumcorp.com/,"Zapalac, Ross",Manufacturing,Vancouver,BC,$5M to $10M,212291 Uranium-Radium-Vanadium Ore Mining
American Northwest Distributors,http://www.anwdistributors.com,"Dambrosio, Thomas",Retail,Seattle,WA,$10M to $20M,424820 Wine and Distilled Alcoholic Beverage Merchant Wholesalers
American Nuts Inc,https://www.americannuts.com/,"Zapalac, Ross",Retail,Sylmar,CA,$100M to $150M,424450 Confectionery Merchant Wholesalers
American Piping Products,http://www.amerpipe.com,"Dynek, Christopher",Manufacturing,Chesterfield,MO,$20M to $30M,423510 Metal Service Centers and Other Metal Merchant Wholesalers
American Pop Corn Company (JOLLY TIME Pop Corn),http://jollytime.com,"Corbett, Danielle",Food & Beverage,Sioux City,IA,$10M to $20M,488510 Freight Transportation Arrangement
American Precision Gear,http://www.amgear.com,"Corbett, Danielle",Manufacturing,Foster City,CA,$5M to $10M,"333612 Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
American Textile & Supply,http://www.americantex.com,"Traywick, Reginald",Retail,Vernon,CA,$5M to $10M,812332 Industrial Launderers
Americh Corporation,http://www.americh.com,"Uritis, Peter",Manufacturing,North Hollywood,CA,$5M to $10M,326191 Plastics Plumbing Fixture Manufacturing
"Amerimade Technology, Inc",http://www.amerimade.com,"Uritis, Peter",Manufacturing,Livermore,CA,$5M to $10M,333242 Semiconductor Machinery Manufacturing
AMI Group,https://www.amigrp.com/,"Zapalac, Ross",Retail,Santa Monica,CA,$20M to $30M,424820 Wine and Distilled Alcoholic Beverage Merchant Wholesalers
Aminox,http://amionxsafecore.com,"O'Neill, Brian",Manufacturing,,,$5M to $10M,
Amos Power,http://www.amospower.com,"Zapalac, Ross",Manufacturing,Panora,IA,$10M to $20M,
AMP Medical Products,https://ampaesthetics.com/,"Corbett, Danielle",Retail,Henderson,NV,$5M to $10M,424210 Drugs and Druggists' Sundries Merchant Wholesalers
Anchor Ingredients,http://www.anchoringredients.com/,"Dynek, Christopher",Food & Beverage,Fargo,ND,$30M to $50M,311999 All Other Miscellaneous Food Manufacturing
Anderson Erickson Dairy Co,http://www.aedairy.com,"Zapalac, Ross",Food & Beverage,Des Moines,IA,$100M to $150M,"311514 Dry, Condensed, and Evaporated Dairy Product Manufacturing"
"Anderson Moulding, LLC",http://andersonmoulding.com/,"Traywick, Reginald",Manufacturing,Culver City,CA,$2M to $5M,444110 Home Centers
Anderson Pump Company,http://www.andersonpumpcompany.com,"O'Neill, Brian",Manufacturing,Chowchilla,CA,$10M to $20M,"333914 Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
Anderson Quality Spring Manufacturing,http://www.andersonqualityspring.com,"Traywick, Reginald",Manufacturing,Canby,OR,$5M to $10M,332613 Spring Manufacturing
Andes,http://www.andes.bio,"Zapalac, Ross",Manufacturing,Alameda,CA,$100M to $150M,325414 Biological Product (except Diagnostic) Manufacturing
"Andrew Tool & Machining Co, Inc",http://www.andrewtool.com,"Corbett, Danielle",Manufacturing,Minneapolis,MN,$5M to $10M,"333514 Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
Andros Engineering,http://www.andros-eng.com,"Corbett, Danielle",Manufacturing,Paso Robles,CA,$20M to $30M,423820 Farm and Garden Machinery and Equipment Merchant Wholesalers
animalbiome,http://animalbiome.com,"Corbett, Danielle",Manufacturing,Oakland,CA,$10M to $20M,541714 Research and Development in Biotechnology (except Nanobiotechnology)
Annasea Foods Group,https://www.annasea.com/,"Traywick, Reginald",Retail,Kent,WA,$10M to $20M,424460 Fish and Seafood Merchant Wholesalers
"Aosense, Inc.",http://www.aosense.com,"O'Neill, Brian",Manufacturing,Sunnyvale,CA,$20M to $30M,"334511 Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
Apet Inc.,http://www.apetinc.com,"Dynek, Christopher",Retail,East Dundee,IL,$30M to $50M,424990 Other Miscellaneous Nondurable Goods Merchant Wholesalers
Apex S&M LLC,http://www.easysourcing.com/,"Corbett, Danielle",Manufacturing,Littleton,CO,$5M to $10M,332710 Machine Shops
"APEX WINDOWS & BATH ACCESSORIES, ACC",http://www.apexwindowsandbath.com,"Uritis, Peter",Manufacturing,Vail,AZ,$10M to $20M,"423310 Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
"Apple Valley Communications, Inc.",http://avcsystems.com,"Uritis, Peter",Retail,,CA,$10M to $20M,517919 All Other Telecommunications
Applied Cardiac Systems Inc,https://acsd4u.com,"O'Neill, Brian",Health & Beauty,LAGUNA HILLS,CA,$10M to $20M,334510 Electromedical and Electrotherapeutic Apparatus Manufacturing
Aptevo Therapeutics,http://aptevotherapeutics.com/,"Dambrosio, Thomas",Services,Seattle,WA,$20M to $30M,541714 Research and Development in Biotechnology (except Nanobiotechnology)
Aquatherm,http://www.aquatherm.com,"Dambrosio, Thomas",Manufacturing,Lindon,UT,$50M to $100M,326122 Plastics Pipe and Pipe Fitting Manufacturing
Aquor Water Systems,http://www.aquorwatersystems.com,"Corbett, Danielle",Manufacturing,Bellevue,WA,$10M to $20M,332913 Plumbing Fixture Fitting and Trim Manufacturing
AR 500 Armor,http://www.ar500armor.com,"Corbett, Danielle",Retail,Phoenix,AZ,$5M to $10M,423910 Sporting and Recreational Goods and Supplies Merchant Wholesalers
AR-EN Party Printers,http://www.ar-en.com,"Corbett, Danielle",Manufacturing,Skokie,IL,$5M to $10M,323111 Commercial Printing (except Screen and Books)
Arcadia,https://arcadiacontract.com/,"O'Neill, Brian",Manufacturing,La Palma,CA,$10M to $20M,337211 Wood Office Furniture Manufacturing
Archgard,http://www.archgard.com,"Traywick, Reginald",Manufacturing,Mission,BC,$5M to $10M,333414 Heating Equipment (except Warm Air Furnaces) Manufacturing
Archive Finishing,http://www.archivefinishing.net,"Dambrosio, Thomas",Manufacturing,Hailey,ID,$5M to $10M,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring"
"Arctic Sheet Metal, INC.",http://arcticsheetmetal.com,"Dambrosio, Thomas",Manufacturing,Portland,OR,$10M to $20M,332322 Sheet Metal Work Manufacturing
"Argent, LLC dba Traxx Corp.",http://www.traxxcorp.com,"Dambrosio, Thomas",Manufacturing,Pomona,CA,$10M to $20M,314110 Carpet and Rug Mills
Arizona Archery Enterprises,http://www.arizonaarchery.com,"Uritis, Peter",Retail,Prescott Valley,AZ,$10M to $20M,339920 Sporting and Athletic Goods Manufacturing
Arnold,http://arncosolutions.com,"O'Neill, Brian",Manufacturing,Trenton,IL,$10M to $20M,336510 Railroad Rolling Stock Manufacturing
Arntzen Corporation,http://www.arntzenpipe.com,"Corbett, Danielle",Manufacturing,Rockford,IL,$10M to $20M,331210 Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
Arrowhead Potatoes,https://arrowheadpotatoes.com/,"O'Neill, Brian",Retail,Rupert,ID,$5M to $10M,111211 Potato Farming
Artisan Bakers,http://www.artisanbakers.com,"O'Neill, Brian",Retail,Sonoma,CA,$50M to $100M,311811 Retail Bakeries
Artisan Labs,https://artisanlabs.com/,"Dambrosio, Thomas",Manufacturing,Kimberly,ID,$5M to $10M,334515 Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
"Artistic Framing , Inc.",http://www.artisticframing.com,"Traywick, Reginald",Retail,Wheeling,IL,$5M to $10M,238130 Framing Contractors
ASAP Semiconductor,http://www.ASAPSEMI.COM,"Uritis, Peter",Manufacturing,Fountain Valley,CA,$10M to $20M,423860 Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
Ascensus Specialties,http://www.ascensusspecialties.com,"Zapalac, Ross",Manufacturing,Bellevue,WA,$20M to $30M,325199 All Other Basic Organic Chemical Manufacturing
Ascent Chemicals,http://www.ascentchem.com,"Dambrosio, Thomas",Manufacturing,,IL,$50M to $100M,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing
Ascent Inc.,http://www.ascenthvac.com,"Corbett, Danielle",Retail,Danville,CA,$5M to $10M,423730 Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
Asher Cole,http://www.ashercole.com,"Traywick, Reginald",Retail,Phoenix,AZ,$10M to $20M,337122 Nonupholstered Wood Household Furniture Manufacturing
Asmus Farm Supply,http://www.afschem.com,"Uritis, Peter",Manufacturing,Rake,IA,$5M to $10M,424910 Farm Supplies Merchant Wholesalers
"Aspire Brands, Inc",http://www.aspiredrinks.com,"Uritis, Peter",Food & Beverage,Chicago,IL,$5M to $10M,312111 Soft Drink Manufacturing
Astek,http://astek.com,"O'Neill, Brian",Manufacturing,Van Nuys,CA,$10M to $20M,"424950 Paint, Varnish, and Supplies Merchant Wholesalers"
